table_name,field_name,data_type,grain,definition,calculation_level,unit,allowed_values,null_rule,evidence_class_rule,business_use,caveat
asset_allocation_summary.csv,allocation_band,str,"one row per period, asset group, and allocation band","Low, Medium, or High public allocation category",aggregate,text_or_field_specific,"Low, Medium, High",not null,synthetic unless explicitly approved otherwise,"Compare contribution, risk, and concentration by group",Public demonstration data; not live performance or investment advice
asset_allocation_summary.csv,evidence_class,str,"one row per period, asset group, and allocation band",Classification of the public evidence used,aggregate,text_or_field_specific,"synthetic, mock, modeled, observed_aggregate",not null,synthetic unless explicitly approved otherwise,"Compare contribution, risk, and concentration by group",Public demonstration data; not live performance or investment advice
asset_allocation_summary.csv,contribution_to_return,float64,"one row per period, asset group, and allocation band",Asset-group weighted contribution to portfolio return,aggregate,percent,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Compare contribution, risk, and concentration by group",Public demonstration data; not live performance or investment advice
asset_allocation_summary.csv,contribution_to_risk,float64,"one row per period, asset group, and allocation band",Covariance contribution divided by total portfolio variance,aggregate,percent,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Compare contribution, risk, and concentration by group",Public demonstration data; not live performance or investment advice
asset_allocation_summary.csv,volatility,float64,"one row per period, asset group, and allocation band",Annualized standard deviation of valid daily returns,aggregate,percent,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Compare contribution, risk, and concentration by group",Public demonstration data; not live performance or investment advice
asset_allocation_summary.csv,positive_period_probability,float64,"one row per period, asset group, and allocation band",Valid positive observations divided by valid observations,aggregate,percent,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Compare contribution, risk, and concentration by group",Public demonstration data; not live performance or investment advice
asset_allocation_summary.csv,concentration_share,float64,"one row per period, asset group, and allocation band",Average synthetic portfolio share represented by the group,aggregate,percent,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Compare contribution, risk, and concentration by group",Public demonstration data; not live performance or investment advice
asset_allocation_summary.csv,diversification_score,float64,"one row per period, asset group, and allocation band",One minus the sum of squared average group weights,aggregate,percent,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Compare contribution, risk, and concentration by group",Public demonstration data; not live performance or investment advice
asset_allocation_summary.csv,observation_count,int64,"one row per period, asset group, and allocation band",Valid observations used in the calculation,aggregate,count,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Compare contribution, risk, and concentration by group",Public demonstration data; not live performance or investment advice
asset_allocation_summary.csv,status,str,"one row per period, asset group, and allocation band",Status,aggregate,text_or_field_specific,table-specific documented status,not null,synthetic unless explicitly approved otherwise,"Compare contribution, risk, and concentration by group",Public demonstration data; not live performance or investment advice
model_evaluation_summary.csv,model_family,str,"one row per model family, validation method, split, and evidence class",Model family,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Review an optional prototype against a baseline,Public demonstration data; not live performance or investment advice
model_evaluation_summary.csv,validation_method,str,"one row per model family, validation method, split, and evidence class",Validation method,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Review an optional prototype against a baseline,Public demonstration data; not live performance or investment advice
model_evaluation_summary.csv,train_or_test,str,"one row per model family, validation method, split, and evidence class",Train or test,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Review an optional prototype against a baseline,Public demonstration data; not live performance or investment advice
model_evaluation_summary.csv,evidence_class,str,"one row per model family, validation method, split, and evidence class",Classification of the public evidence used,aggregate,text_or_field_specific,"synthetic, mock, modeled, observed_aggregate",not null,synthetic unless explicitly approved otherwise,Review an optional prototype against a baseline,Public demonstration data; not live performance or investment advice
model_evaluation_summary.csv,balanced_accuracy,float64,"one row per model family, validation method, split, and evidence class",Mean recall across the two target classes,aggregate,0_to_1_score,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Review an optional prototype against a baseline,Public demonstration data; not live performance or investment advice
model_evaluation_summary.csv,precision,float64,"one row per model family, validation method, split, and evidence class",Correct positive predictions divided by all positive predictions,aggregate,0_to_1_score,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Review an optional prototype against a baseline,Public demonstration data; not live performance or investment advice
model_evaluation_summary.csv,recall,float64,"one row per model family, validation method, split, and evidence class",Correct positive predictions divided by all actual positive observations,aggregate,0_to_1_score,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Review an optional prototype against a baseline,Public demonstration data; not live performance or investment advice
model_evaluation_summary.csv,f1_score,float64,"one row per model family, validation method, split, and evidence class",Harmonic mean of precision and recall,aggregate,0_to_1_score,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Review an optional prototype against a baseline,Public demonstration data; not live performance or investment advice
model_evaluation_summary.csv,directional_accuracy,float64,"one row per model family, validation method, split, and evidence class",Correct direction classifications divided by test observations,aggregate,0_to_1_score,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Review an optional prototype against a baseline,Public demonstration data; not live performance or investment advice
model_evaluation_summary.csv,sample_size,int64,"one row per model family, validation method, split, and evidence class",Observations evaluated in the stated split,aggregate,count,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Review an optional prototype against a baseline,Public demonstration data; not live performance or investment advice
model_evaluation_summary.csv,class_balance,float64,"one row per model family, validation method, split, and evidence class",Positive-class observations divided by test observations,aggregate,0_to_1_score,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Review an optional prototype against a baseline,Public demonstration data; not live performance or investment advice
model_evaluation_summary.csv,status,str,"one row per model family, validation method, split, and evidence class",Status,aggregate,text_or_field_specific,table-specific documented status,not null,synthetic unless explicitly approved otherwise,Review an optional prototype against a baseline,Public demonstration data; not live performance or investment advice
model_evaluation_summary.csv,limitation,str,"one row per model family, validation method, split, and evidence class",Limitation,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Review an optional prototype against a baseline,Public demonstration data; not live performance or investment advice
analytics_pipeline.csv,stage_order,int64,one row per analytical workflow stage,Stage order,aggregate,count,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Show how analysis moves from question to monitoring,Public demonstration data; not live performance or investment advice
analytics_pipeline.csv,pipeline_stage,str,one row per analytical workflow stage,Pipeline stage,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Show how analysis moves from question to monitoring,Public demonstration data; not live performance or investment advice
analytics_pipeline.csv,business_question,str,one row per analytical workflow stage,Business question,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Show how analysis moves from question to monitoring,Public demonstration data; not live performance or investment advice
analytics_pipeline.csv,input_category,str,one row per analytical workflow stage,Input category,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Show how analysis moves from question to monitoring,Public demonstration data; not live performance or investment advice
analytics_pipeline.csv,analytical_method,str,one row per analytical workflow stage,Analytical method,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Show how analysis moves from question to monitoring,Public demonstration data; not live performance or investment advice
analytics_pipeline.csv,output_category,str,one row per analytical workflow stage,Output category,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Show how analysis moves from question to monitoring,Public demonstration data; not live performance or investment advice
analytics_pipeline.csv,validation_check,str,one row per analytical workflow stage,Validation check,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Show how analysis moves from question to monitoring,Public demonstration data; not live performance or investment advice
analytics_pipeline.csv,decision_use,str,one row per analytical workflow stage,Decision use,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Show how analysis moves from question to monitoring,Public demonstration data; not live performance or investment advice
analytics_pipeline.csv,status,str,one row per analytical workflow stage,Status,aggregate,text_or_field_specific,table-specific documented status,not null,synthetic unless explicitly approved otherwise,Show how analysis moves from question to monitoring,Public demonstration data; not live performance or investment advice
analytics_pipeline.csv,public_or_private,str,one row per analytical workflow stage,Public or private,aggregate,text_or_field_specific,public,not null,synthetic unless explicitly approved otherwise,Show how analysis moves from question to monitoring,Public demonstration data; not live performance or investment advice
statistical_summary.csv,period,str,"one row per period, asset group, metric, and evidence class",Calendar month or stated evaluation window,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Compare distributions, probability, volatility, and drawdowns",Public demonstration data; not live performance or investment advice
statistical_summary.csv,asset_group,str,"one row per period, asset group, metric, and evidence class",Generic public asset category,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Compare distributions, probability, volatility, and drawdowns",Public demonstration data; not live performance or investment advice
statistical_summary.csv,metric_name,str,"one row per period, asset group, metric, and evidence class",Metric name,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Compare distributions, probability, volatility, and drawdowns",Public demonstration data; not live performance or investment advice
statistical_summary.csv,metric_value,float64,"one row per period, asset group, metric, and evidence class",Value of the named statistical measure,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Compare distributions, probability, volatility, and drawdowns",Public demonstration data; not live performance or investment advice
statistical_summary.csv,unit,str,"one row per period, asset group, metric, and evidence class",Unit,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Compare distributions, probability, volatility, and drawdowns",Public demonstration data; not live performance or investment advice
statistical_summary.csv,observation_count,int64,"one row per period, asset group, metric, and evidence class",Valid observations used in the calculation,aggregate,count,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Compare distributions, probability, volatility, and drawdowns",Public demonstration data; not live performance or investment advice
statistical_summary.csv,evidence_class,str,"one row per period, asset group, metric, and evidence class",Classification of the public evidence used,aggregate,text_or_field_specific,"synthetic, mock, modeled, observed_aggregate",not null,synthetic unless explicitly approved otherwise,"Compare distributions, probability, volatility, and drawdowns",Public demonstration data; not live performance or investment advice
statistical_summary.csv,interpretation_note,str,"one row per period, asset group, metric, and evidence class",Interpretation note,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Compare distributions, probability, volatility, and drawdowns",Public demonstration data; not live performance or investment advice
decision_action_summary.csv,period,str,"one row per period, asset group, cue family, decision label, intensity, and filter result",Calendar month or stated evaluation window,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Show how public decision labels and filter outcomes distribute by month,Public demonstration data; not live performance or investment advice
decision_action_summary.csv,asset_group,str,"one row per period, asset group, cue family, decision label, intensity, and filter result",Generic public asset category,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Show how public decision labels and filter outcomes distribute by month,Public demonstration data; not live performance or investment advice
decision_action_summary.csv,cue_family_code,str,"one row per period, asset group, cue family, decision label, intensity, and filter result",Public family code A–E used in case materials,aggregate,text_or_field_specific,"A, B, C, D, E",not null,synthetic unless explicitly approved otherwise,Show how public decision labels and filter outcomes distribute by month,Public demonstration data; not live performance or investment advice
decision_action_summary.csv,cue_family_name,str,"one row per period, asset group, cue family, decision label, intensity, and filter result",Plain-language name of a market-price cue family,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Show how public decision labels and filter outcomes distribute by month,Public demonstration data; not live performance or investment advice
decision_action_summary.csv,decision_label,str,"one row per period, asset group, cue family, decision label, intensity, and filter result","Public review label: Buy, Sell, Wait Buy, Wait Sell, Hold, Warning Long, or Warning Short",aggregate,text_or_field_specific,"Buy, Sell, Wait Buy, Wait Sell, Hold, Warning Long, Warning Short",not null,synthetic unless explicitly approved otherwise,Show how public decision labels and filter outcomes distribute by month,Public demonstration data; not live performance or investment advice
decision_action_summary.csv,intensity_band,str,"one row per period, asset group, cue family, decision label, intensity, and filter result","Public intensity band 1/3, 2/3, or 3/3",aggregate,text_or_field_specific,"1/3, 2/3, 3/3",not null,synthetic unless explicitly approved otherwise,Show how public decision labels and filter outcomes distribute by month,Public demonstration data; not live performance or investment advice
decision_action_summary.csv,filter_gate_result,str,"one row per period, asset group, cue family, decision label, intensity, and filter result","Whether the review filter passed, held, or failed",aggregate,text_or_field_specific,"pass, hold, fail",not null,synthetic unless explicitly approved otherwise,Show how public decision labels and filter outcomes distribute by month,Public demonstration data; not live performance or investment advice
decision_action_summary.csv,evaluation_type,str,"one row per period, asset group, cue family, decision label, intensity, and filter result",Type of evaluation or scenario,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Show how public decision labels and filter outcomes distribute by month,Public demonstration data; not live performance or investment advice
decision_action_summary.csv,evidence_class,str,"one row per period, asset group, cue family, decision label, intensity, and filter result",Classification of the public evidence used,aggregate,text_or_field_specific,"synthetic, mock, modeled, observed_aggregate",not null,synthetic unless explicitly approved otherwise,Show how public decision labels and filter outcomes distribute by month,Public demonstration data; not live performance or investment advice
decision_action_summary.csv,status,str,"one row per period, asset group, cue family, decision label, intensity, and filter result",Status,aggregate,text_or_field_specific,table-specific documented status,not null,synthetic unless explicitly approved otherwise,Show how public decision labels and filter outcomes distribute by month,Public demonstration data; not live performance or investment advice
decision_action_summary.csv,observation_count,int64,"one row per period, asset group, cue family, decision label, intensity, and filter result",Valid observations used in the calculation,aggregate,count,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Show how public decision labels and filter outcomes distribute by month,Public demonstration data; not live performance or investment advice
decision_pipeline_stages.csv,stage_order,int64,one row per public decision-review stage,Stage order,aggregate,count,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Explain the decision review path without private formulas,Public demonstration data; not live performance or investment advice
decision_pipeline_stages.csv,stage_name,str,one row per public decision-review stage,Name of a public decision-review stage,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Explain the decision review path without private formulas,Public demonstration data; not live performance or investment advice
decision_pipeline_stages.csv,business_question,str,one row per public decision-review stage,Business question,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Explain the decision review path without private formulas,Public demonstration data; not live performance or investment advice
decision_pipeline_stages.csv,input_category,str,one row per public decision-review stage,Input category,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Explain the decision review path without private formulas,Public demonstration data; not live performance or investment advice
decision_pipeline_stages.csv,output_action_or_check,str,one row per public decision-review stage,Public output produced by the stage,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Explain the decision review path without private formulas,Public demonstration data; not live performance or investment advice
decision_pipeline_stages.csv,public_or_private,str,one row per public decision-review stage,Public or private,aggregate,text_or_field_specific,public,not null,synthetic unless explicitly approved otherwise,Explain the decision review path without private formulas,Public demonstration data; not live performance or investment advice
decision_pipeline_stages.csv,evidence_class,str,one row per public decision-review stage,Classification of the public evidence used,aggregate,text_or_field_specific,"synthetic, mock, modeled, observed_aggregate",not null,synthetic unless explicitly approved otherwise,Explain the decision review path without private formulas,Public demonstration data; not live performance or investment advice
decision_pipeline_stages.csv,status,str,one row per public decision-review stage,Status,aggregate,text_or_field_specific,table-specific documented status,not null,synthetic unless explicitly approved otherwise,Explain the decision review path without private formulas,Public demonstration data; not live performance or investment advice
data_quality_summary.csv,dataset_name,str,"one row per dataset, period, and quality check",Dataset name,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Decide whether a refresh is trustworthy,Public demonstration data; not live performance or investment advice
data_quality_summary.csv,period,str,"one row per dataset, period, and quality check",Calendar month or stated evaluation window,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Decide whether a refresh is trustworthy,Public demonstration data; not live performance or investment advice
data_quality_summary.csv,check_name,str,"one row per dataset, period, and quality check",Check name,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Decide whether a refresh is trustworthy,Public demonstration data; not live performance or investment advice
data_quality_summary.csv,records_checked,int64,"one row per dataset, period, and quality check",Records checked,aggregate,count,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Decide whether a refresh is trustworthy,Public demonstration data; not live performance or investment advice
data_quality_summary.csv,issue_count,int64,"one row per dataset, period, and quality check",Records or keys failing the quality rule,aggregate,count,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Decide whether a refresh is trustworthy,Public demonstration data; not live performance or investment advice
data_quality_summary.csv,issue_rate,float64,"one row per dataset, period, and quality check",Issue count divided by records checked,aggregate,0_to_1_score,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Decide whether a refresh is trustworthy,Public demonstration data; not live performance or investment advice
data_quality_summary.csv,severity,str,"one row per dataset, period, and quality check",Severity,aggregate,text_or_field_specific,"Info, Warning, Blocker",not null,synthetic unless explicitly approved otherwise,Decide whether a refresh is trustworthy,Public demonstration data; not live performance or investment advice
data_quality_summary.csv,status,str,"one row per dataset, period, and quality check",Status,aggregate,text_or_field_specific,table-specific documented status,not null,synthetic unless explicitly approved otherwise,Decide whether a refresh is trustworthy,Public demonstration data; not live performance or investment advice
data_quality_summary.csv,analyst_action,str,"one row per dataset, period, and quality check",Analyst action,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,Decide whether a refresh is trustworthy,Public demonstration data; not live performance or investment advice
data_quality_summary.csv,evidence_class,str,"one row per dataset, period, and quality check",Classification of the public evidence used,aggregate,text_or_field_specific,"synthetic, mock, modeled, observed_aggregate",not null,synthetic unless explicitly approved otherwise,Decide whether a refresh is trustworthy,Public demonstration data; not live performance or investment advice
